[P_CODE_MAT]	[P_LENGTH]	[P_WIDTH]	[P_MINQ]	[P_GRAIN]	[P_IDESC]	[P_EDGE_MAT_UP]	[P_EGDE_MAT_LO]	[P_EDGE_MAT_SX]	[P_EDGE_MAT_DX]	[P_IIDESC]	[P_DESC1]
Material	Length	Width	Min Q.	GrainI	Description	Upper strip mat.	Lower strip mat.	Left strip mat.	Right strip mat.	II Description	Description 1
18MM 210*280	100	484	4	3-Material	4-9-2KPK-Dikey Kayit 1			1	1		
18MM 210*280	484	100	4	3-Material	4-9-2KPK-Yatay Kayit 1	1	1				
18MM 210*280	484	570	4	3-Material	4-9-2KPK-Raf 1	1					
18MM 210*280	2200	650	4	3-Material	4-10-buzdolap-Sag Yan	1					
18MM 210*280	300	200	4	3-Material	4-10-buzdolap-Dikey Bolme 1	1			1		
18MM 210*280	300	200	4	3-Material	4-10-buzdolap-Dikey Bolme 2	1			1		
18MM 210*280	828	200	4	3-Material	4-10-buzdolap-Yatay Bolme 1	1					
18MM 210*280	828	200	4	3-Material	4-10-buzdolap-Yatay Bolme 2	1					
18MM 210*280	295	861	4	3-Material	4-10-buzdolap-Kapak 1	1	1	1	1		
18MM 210*280	722	580	8	3-Material	4+4-11-Evye-Sol Yan	1				13111184	
18MM 210*280	722	580	8	3-Material	4+4-11-Evye-Sag Yan	1				13111185	
18MM 210*280	600	495	8	3-Material	4+4-11-Evye-Alt Tabla	1		1	1	13111187	
18MM 210*280	100	564	8	3-Material	4+4-11-Evye-Dikey Kayit 1			1			
18MM 210*280	100	564	8	3-Material	4+4-11-Evye-Dikey Kayit 2			1			
18MM 210*280	80	564	8	3-Material	4+4-11-Evye-Dikey Kayit 3				1		
18MM 210*280	722	580	8	3-Material	4+4-12-3.CKM-Sol Yan	1	1		1	13112198	
18MM 210*280	722	580	8	3-Material	4+4-12-3.CKM-Sag Yan	1	1		1	13112199	
18MM 210*280	600	580	8	3-Material	4+4-12-3.CKM-Alt Tabla	1	1	1	1	13112201	
18MM 210*280	564	100	8	3-Material	4+4-12-3.CKM-Yatay Bolme 1	1	1				
18MM 210*280	100	564	8	3-Material	4+4-12-3.CKM-Dikey Kayit 1			1	1		
18MM 210*280	490	200	8	3-Material	4+4-12-3.CKM-Cekmece Sol 1	1	1			13112212	
18MM 210*280	490	200	8	3-Material	4+4-12-3.CKM-Cekmece Sag 1	1	1			13112213	
18MM 210*280	518	185	8	3-Material	4+4-12-3.CKM-Cekmece On 1	1	1			13112215	
18MM 210*280	518	185	8	3-Material	4+4-12-3.CKM-Cekmece Arka 1	1	1			13112217	
18MM 210*280	490	110	8	3-Material	4+4-12-3.CKM-Cekmece Sol 2	1	1			13112224	
18MM 210*280	490	110	8	3-Material	4+4-12-3.CKM-Cekmece Sag 2	1	1			13112225	
18MM 210*280	518	95	8	3-Material	4+4-12-3.CKM-Cekmece On 2	1	1			13112227	
18MM 210*280	518	95	8	3-Material	4+4-12-3.CKM-Cekmece Arka 2	1	1			13112229	
18MM 210*280	490	110	8	3-Material	4+4-12-3.CKM-Cekmece Sol 3	1	1			13112236	
18MM 210*280	490	110	8	3-Material	4+4-12-3.CKM-Cekmece Sag 3	1	1			13112237	
18MM 210*280	518	95	8	3-Material	4+4-12-3.CKM-Cekmece On 3	1	1			13112239	
18MM 210*280	518	95	8	3-Material	4+4-12-3.CKM-Cekmece Arka 3	1	1			13112241	
18MM 210*280	722	580	8	3-Material	4+4-13-ANK.FRN-Sol Yan	1	1		1	13113246	
18MM 210*280	722	580	8	3-Material	4+4-13-ANK.FRN-Sag Yan	1	1		1	13113247	
18MM 210*280	600	580	8	3-Material	4+4-13-ANK.FRN-Alt Tabla	1	1	1	1	13113249	
18MM 210*280	564	580	8	3-Material	4+4-13-ANK.FRN-Yatay Bolme 1	1					
18MM 210*280	100	564	8	3-Material	4+4-13-ANK.FRN-Dikey Kayit 1			1	1		
18MM 210*280	500	65	8	3-Material	4+4-13-ANK.FRN-Cekmece Sol 1	1				13113257	
18MM 210*280	500	65	8	3-Material	4+4-13-ANK.FRN-Cekmece Sag 1	1				13113260	
18MM 210*280	502	65	8	3-Material	4+4-13-ANK.FRN-Cekmece On 1	1					
18MM 210*280	502	65	8	3-Material	4+4-13-ANK.FRN-Cekmece Arka 1	1					
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-14-2 Kapakli-Sol Yan	1			1	13114268	
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-14-2 Kapakli-Sag Yan	1			1	13114269	
18MM 210*280	564	330	8	3-Material	4+4 (2 Kapaklı)-14-2 Kapakli-Ust Tabla	1					
18MM 210*280	564	330	8	3-Material	4+4 (2 Kapaklı)-14-2 Kapakli-Alt Tabla	1					
18MM 210*280	564	320	8	3-Material	4+4 (2 Kapaklı)-14-2 Kapakli-Raf 1	1					
18MM 210*280	564	320	8	3-Material	4+4 (2 Kapaklı)-14-2 Kapakli-Raf 2	1					
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-15-2 Kapakli-Sol Yan	1			1	13115284	
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-15-2 Kapakli-Sag Yan	1			1	13115285	
18MM 210*280	574	330	8	3-Material	4+4 (2 Kapaklı)-15-2 Kapakli-Ust Tabla	1					
18MM 210*280	574	330	8	3-Material	4+4 (2 Kapaklı)-15-2 Kapakli-Alt Tabla	1					
18MM 210*280	574	320	8	3-Material	4+4 (2 Kapaklı)-15-2 Kapakli-Raf 1	1					
18MM 210*280	574	320	8	3-Material	4+4 (2 Kapaklı)-15-2 Kapakli-Raf 2	1					
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-16-2 Kapakli-Sol Yan	1			1	13116300	
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-16-2 Kapakli-Sag Yan	1			1	13116301	
18MM 210*280	484	330	8	3-Material	4+4 (2 Kapaklı)-16-2 Kapakli-Ust Tabla	1					
18MM 210*280	484	330	8	3-Material	4+4 (2 Kapaklı)-16-2 Kapakli-Alt Tabla	1					
18MM 210*280	484	320	8	3-Material	4+4 (2 Kapaklı)-16-2 Kapakli-Raf 1	1					
18MM 210*280	484	320	8	3-Material	4+4 (2 Kapaklı)-16-2 Kapakli-Raf 2	1					
18MM 210*280	150	330	8	3-Material	4+4-17-4 Davlumbaz-Sol Yan	1			1	13117316	
18MM 210*280	150	330	8	3-Material	4+4-17-4 Davlumbaz-Sag Yan	1			1	13117317	
18MM 210*280	574	330	8	3-Material	4+4-17-4 Davlumbaz-Alt Tabla	1				13117320	
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-18-2 Kapakli-Sol Yan	1			1	13118324	
18MM 210*280	720	330	8	3-Material	4+4 (2 Kapaklı)-18-2 Kapakli-Sag Yan	1			1	13118325	
18MM 210*280	564	330	8	3-Material	4+4 (2 Kapaklı)-18-2 Kapakli-Ust Tabla	1					
18MM 210*280	564	330	8	3-Material	4+4 (2 Kapaklı)-18-2 Kapakli-Alt Tabla	1					
18MM 210*280	564	320	8	3-Material	4+4 (2 Kapaklı)-18-2 Kapakli-Raf 1	1					
18MM 210*280	564	320	8	3-Material	4+4 (2 Kapaklı)-18-2 Kapakli-Raf 2	1					
18MM 210*280	722	580	8	3-Material	4+4-19-2KPK-Sol Yan	1	1		1	13119340	
18MM 210*280	722	580	8	3-Material	4+4-19-2KPK-Sag Yan	1	1		1	13119341	
18MM 210*280	520	580	8	3-Material	4+4-19-2KPK-Alt Tabla	1	1	1	1	13119343	
18MM 210*280	100	484	8	3-Material	4+4-19-2KPK-Dikey Kayit 1			1	1	13119346	
18MM 210*280	484	100	8	3-Material	4+4-19-2KPK-Yatay Kayit 1	1	1			13119348	
18MM 210*280	484	554	8	3-Material	4+4-19-2KPK-Raf 1	1					
18MM 210*280	722	580	1	3-Material	ACDD6-20-Evye-Sol Yan	1				13120356	
18MM 210*280	722	580	1	3-Material	ACDD6-20-Evye-Sag Yan	1				13120357	
18MM 210*280	800	495	1	3-Material	ACDD6-20-Evye-Alt Tabla	1		1	1	13120359	
18MM 210*280	100	764	1	3-Material	ACDD6-20-Evye-Dikey Kayit 1			1			
18MM 210*280	100	764	1	3-Material	ACDD6-20-Evye-Dikey Kayit 2			1			
18MM 210*280	80	764	1	3-Material	ACDD6-20-Evye-Dikey Kayit 3				1		
18MM 210*280	722	580	1	3-Material	ACDD6-21-3.CKM-Sol Yan	1	1		1	13121372	
18MM 210*280	722	580	1	3-Material	ACDD6-21-3.CKM-Sag Yan	1	1		1	13121373	
18MM 210*280	600	580	1	3-Material	ACDD6-21-3.CKM-Alt Tabla	1	1	1	1	13121375	
18MM 210*280	564	100	1	3-Material	ACDD6-21-3.CKM-Yatay Bolme 1	1	1				
18MM 210*280	100	564	1	3-Material	ACDD6-21-3.CKM-Dikey Kayit 1			1	1		
18MM 210*280	490	200	1	3-Material	ACDD6-21-3.CKM-Cekmece Sol 1	1	1			13121386	
18MM 210*280	490	200	1	3-Material	ACDD6-21-3.CKM-Cekmece Sag 1	1	1			13121387	
18MM 210*280	518	185	1	3-Material	ACDD6-21-3.CKM-Cekmece On 1	1	1			13121389	
18MM 210*280	518	185	1	3-Material	ACDD6-21-3.CKM-Cekmece Arka 1	1	1			13121391	
18MM 210*280	490	110	1	3-Material	ACDD6-21-3.CKM-Cekmece Sol 2	1	1			13121398	
18MM 210*280	490	110	1	3-Material	ACDD6-21-3.CKM-Cekmece Sag 2	1	1			13121399	
18MM 210*280	518	95	1	3-Material	ACDD6-21-3.CKM-Cekmece On 2	1	1			13121401	
18MM 210*280	518	95	1	3-Material	ACDD6-21-3.CKM-Cekmece Arka 2	1	1			13121403	
18MM 210*280	490	110	1	3-Material	ACDD6-21-3.CKM-Cekmece Sol 3	1	1			13121410	
18MM 210*280	490	110	1	3-Material	ACDD6-21-3.CKM-Cekmece Sag 3	1	1			13121411	
18MM 210*280	518	95	1	3-Material	ACDD6-21-3.CKM-Cekmece On 3	1	1			13121413	
18MM 210*280	518	95	1	3-Material	ACDD6-21-3.CKM-Cekmece Arka 3	1	1			13121415	
18MM 210*280	722	580	1	3-Material	ACDD6-22-ANK.FRN-Sol Yan	1	1		1	13122420	
18MM 210*280	722	580	1	3-Material	ACDD6-22-ANK.FRN-Sag Yan	1	1		1	13122421	
18MM 210*280	600	580	1	3-Material	ACDD6-22-ANK.FRN-Alt Tabla	1	1	1	1	13122423	
18MM 210*280	564	580	1	3-Material	ACDD6-22-ANK.FRN-Yatay Bolme 1	1					
18MM 210*280	100	564	1	3-Material	ACDD6-22-ANK.FRN-Dikey Kayit 1			1	1		
18MM 210*280	500	65	1	3-Material	ACDD6-22-ANK.FRN-Cekmece Sol 1	1				13122431	
18MM 210*280	500	65	1	3-Material	ACDD6-22-ANK.FRN-Cekmece Sag 1	1				13122434	
18MM 210*280	502	65	1	3-Material	ACDD6-22-ANK.FRN-Cekmece On 1	1					
18MM 210*280	502	65	1	3-Material	ACDD6-22-ANK.FRN-Cekmece Arka 1	1					
18MM 210*280	722	570	1	3-Material	ACDD6-23-2KPK-Sol Yan	1	1		1	13123442	
